,sent_id,text,label
53,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_53,We extracted the first 100 graphics Category # Category-1: Captures intention (mostly) 34 Category-2: Captures intention (somewhat) 15 Category-3: Hints at intention 7 Category-4: No contribution to intention 44 Figure 3: Analysis of 100 Captions on Bar Charts from our corpus of bar charts.,
54,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_54,The intended message of each bar chart had been previously annotated by two coders.,
55,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_55,The coders were asked to identify 1) the intended message of the graphic using a list of 12 high-level intentions (see Section 5 for examples) and 2) the instantiation of the parameters.,
56,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_56,"For example, if the coder classified the intended message of a graphic as Change-trend , the coder was also asked to identify where the first trend began, its general slope (increasing, decreasing, or stable), where the change in trend occurred, the end of the second trend, and the slope of the second trend.",
57,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_57,"If there was disagreement between the coders on either the intention or the instantiation of the parameters, we utilized consensus-based annotation (Ang et al. ,",
58,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_58,"2002), in which the coders discussed the graphic to try to come to an agreement.",
59,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_59,"As observed by (Ang et al. ,",
60,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_60,"2002), this allowed us to include the ""harder"" or less obvious graphics in our study, thus lowering our expected system performance.",
61,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_61,"We then examined the caption of each graphic, and determined to what extent the caption captured the graphic's intended message.",
62,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_62,Figure 3 shows the results.,
63,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_63,44% of the captions in our corpus did not convey to any extent the message of the information graphic.,
64,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_64,"The following categorizes the purposes that these captions served, along with an example of each: • general heading (8 captions): ""UGI Monthly Gas Rates"" on a graphic conveying a recent spike in home heating bills. •",
65,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_65,"reference to dependent axis (15 captions): ""Lancaster rainfall totals for July"" on a graphic conveying that July-02 was the driest of the previous decade. •",
66,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_66,"commentary relevant to graphic (4 captions): ""Basic performers: One look at the best performing stocks in the Standard&Poor's 500 index this year shows that companies with basic businesses are rewarding investors"" on agraphic conveying the relative rank of different stocks, some of which were basic businesses and some of which were not.",
67,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_67,"This type of information was classified as deductive by (Corio and Lapalme, 1999) since it draws a conclusion from the data depicted in the graphic. •",
68,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_68,"commentary extending message of graphic (8 captions): ""Profits are getting squeezed"" on a graphic conveying that Southwest Airlines net income is estimated to increase in 2003 after falling the preceding three years.",
69,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_69,Here the commentary does not draw a conclusion from the data in the graphic but instead supplements the graphic's message.,
70,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_70,"However this type of caption would probably fall into the deductive class in (Corio and Lapalme, 1999). •",
71,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_71,"humor (7 captions): ""The Sound of Sales"" on a graphic conveying the changing trend (downward after years of increase) in record album sales.",
72,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_72,"This caption has nothing to do with the change-trend message of the graphic, but appears to be an attempt at humor. •",
73,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_73,"conclusion unwarranted by graphic (2 captions): ""Defense spending declines"" on a graphic that in fact conveys that recent defense spending is increasing.",
74,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_74,Slightly over half the captions (56%) contributed to understanding the graphic's intended message.,
75,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_75,34% were judged to convey most of the intended message.,
76,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_76,"For example, the caption ""Tennis players top nominees"" appeared on a graphic whose intended message is to convey that more tennis players were nominated for the 2003 Laureus World Sports Award than athletes from any other sport.",
77,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_77,"Since we argue that captions alone are insufficient for interpreting information graphics, in the few cases where it was unclear whether a caption should be placed in Category-1 or Category-2, we erred on the side of over-rating the contribution of a caption to the graphic's intended message.",
78,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_78,"For example, consider the caption ""Chirac is riding high in the polls"" which appeared on a graphic conveying that there has been a steady increase in Chirac's approval ratings from 55% to about 75%.",
79,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_79,"Although this caption does not fully capture the communicative intention of the graphic (since it does not capture the steady increase conveyed by the graphic), we placed it in the first category since one might argue that riding high in the polls would suggest both high and improving ratings.",
80,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_80,"15% of the captions were judged to convey only part of the graphic's intended message; an example is ""Drug spending for young outpace seniors"" that appears on a graphic whose intended message appears to be that there is a downward trend by age for increased drug spending; we classified the caption in Category-2 since the caption fails to capture that the graphic is talking about percent increases in drug spending, not absolute drug spending, and that the graphic conveys the downward trend for increases in drug spending by age group, not just that increases for the young were greater than for the elderly.",
81,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_81,7% of the captions were judged to only hint at the graphic's message.,
82,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_82,"An example is ""GM's Money Machine"" which appeared on a graphic whose intended message was a contrast of recent performance against the previous trend — ie.,",
83,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_83,"that although there had been a steady decrease in the percentage of GM's overall income produced by its finance unit, there was now a substantial increase in the percentage provided by the finance unit.",
84,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_84,"Since the term money machine is a colloquialism that suggests making a lot of money, the caption was judged to hint at the graphic's intended message.",
85,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_85,"4.2 Understanding Captions For the 49 captions in Category 1 or 2 (where the caption conveyed at least some of the message of the graphic), we examined how well the caption could be parsed and understood by a natural language system.",
86,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_86,"We found that 47% were fragments (for example, ""A Growing Biotech Market"" ), or involved some other kind of ill-formedness (for example, ""Running tops in sneaker wear in 2002"" or ""More seek financial aid"" 1 ).",
87,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_87,16% would require extensive domain knowledge or analogical reasoning to understand.,
88,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_88,"One example is ""Chirac is riding high in the polls"" which would require understanding the meaning of riding high in the polls .",
89,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_89,"Another example is ""Bad Moon Rising"" ; here the verb rising suggests that something is increasing, but the 1 Here we judge the caption to be ill-formed due to the ellipsis since More should be More students .system would need to understand that a bad moon refers to something undesirable (in this case, delinquent loans).",
90,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_90,"4.3 Simple Evidence from Captions Although our corpus analysis showed that captions can be helpful in understanding the message conveyed by an information graphic, it also showed that full understanding of a caption would be problematic; moreover, once the caption was understood, we would still need to relate it to the information extracted from the graphic itself, which appears to be a difficult problem.",
91,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_91,Thus we began investigating whether shallow processing of the caption might provide evidence that could be effectively combined with other evidence obtained from the graphic itself.,
92,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_92,Our analysis provided the following observations: • Verbs in a caption often suggest the kind of message being conveyed by the graphic.,
93,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_93,"An example from our corpus is ""Boating deaths decline"" ; the verb decline suggests that the graphic conveys a decreasing trend.",
94,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_94,"Another example from our corpus is ""American Express total billings still lag"" ; the verb lag suggests that the graphic conveys that some entity (in this case American Express ) is ranked behind some others. •",
95,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_95,Adjectives in a caption also often suggest the kind of message being conveyed by the graphic.,
96,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_96,"An example from our corpus is ""Air Force has largest percentage of women"" ; the adjective largest suggests that the graphic is conveying an entity whose value is largest.",
97,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_97,Adjectives derived from verbs function similarly to verbs.,
98,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_98,"An example from our corpus is ""Soaring Demand for Servers"" which is the caption on a graphic that conveys the rapid increase in demand for servers.",
99,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_99,"Here the adjective soaring is derived from the verb soar , and suggests that the graphic is conveying a strong increase. •",
100,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_100,Nouns in a caption often refer to an entity that is a label on the independent axis.,
101,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_101,"When this occurs, the caption brings the entity into focus and suggests that it is part of the intended message of the graphic.",
102,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_102,"An example from our corpus is ""Germans miss their marks"" where the graphic displays a bar chart that is intended to convey that Germans are the least happy with the Euro.",
103,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_103,"Words that usually appear as verbs, but are used in the caption as a noun, may function similarly to verbs.",
104,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_104,"An example is ""Cable On The Rise"" ; in this caption, rise is used as a noun, but suggests that the graphic is conveying an increase.",
105,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_105,5 Utilizing Evidence We developed and implemented a probabilistic framework for utilizing evidence from a graphic and its caption to hypothesize the graphic's intended message.,
106,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_106,"To identify the intended message of a new information graphic, the graphic is first given to a Visual Extraction Module (Chester and Elzer, 2005) that is responsible for recognizing the individual components of a graphic, identifying the relationship of the components to one another and to the graphic as a whole, and classifying the graphic as to type (bar chart, line graph, etc.);",
107,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_107,the result is an XML file that describes the graphic and all of its components.,
108,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_108,Next a Caption Processing Module analyzes the caption.,
109,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_109,"To utilize verb-related evidence from captions, we identified a set of verbs that would indicate each category of high-level goal 2 , such as recover for Change-trend and beats for Relative-difference; we then extended the set of verbs by examining WordNet for verbs that were closely related in meaning, and constructed a verb class for each set of closely related verbs.",
110,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_110,Adjectives such as more and most were handled in a similar manner.,
111,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_111,"The Caption Processing Module applies a part-of-speech tagger and a stemmer to the caption in order to identify nouns, adjectives, and the root form of verbs and adjectives derived from verbs.",
112,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_112,"The XML representation of the graphic is augmented to indicate any independent axis labels that match nouns in the caption, and the presence of a verb or adjective class in the caption.",
113,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_113,"The Intention Recognition Module then analyzes the XML file to build the appropriate Bayesian network; the current system is limited to bar charts, but 2 As described in the next paragraph, there are 12 categories of high-level goals.the principles underlying the system should be extendible to other kinds of information graphics.",
114,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_114,"The network is described in (Elzer et al. ,",
115,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_115,2005).,
116,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_116,"Very briefly, our analysis of simple bar charts has shown that the intended message can be classified into one of 12 high-level goals; examples of such goals include: • Change-trend: Viewer to believe that there is a < slope-1 > trend from < param1 > to < param2 > and a significantly different < slope-2 > trend from < param3 > to < param4 > • Relative-difference: Viewer to believe that the value of element < param1 > is < comparison > the value of element < param2 > where < comparison > is greater-than , less-than , or equal-to .",
117,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_117,"Each category of high-level goal is represented by a node in the network (whose parent is the top-level goal node), and instances of these goals (ie.,",
118,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_118,"goals with their parameters instantiated) appear as children with inhibitory links (Huber et al.,",
119,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_119,1994) capturing their mutual exclusivity.,
120,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_120,Each goal is broken down further into subtasks (perceptual or cognitive) that the viewer would need to perform in order to accomplish the goal of the parent node.,
121,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_121,"The network is built dynamically when the system is presented with a new information graphic, so that nodes are added to the network only as suggested by the graphic.",
122,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_122,"For example, low-level nodes are added for the easiest primitive perceptual tasks and for perceptual tasks in which a parameter is instantiated with a salient entity (such as an entity colored differently from others in the graphic or an entity that appears as a noun in the caption), since the graphic designer might have intended the viewer to perform these tasks; then higher-level goals that involve these tasks are added, until eventually a link is established to the top-level goal node.",
123,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_123,Next evidence nodes are added to the network to capture the kinds of evidence noted in Sections 3 and 4.3.,
124,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_124,"For example, evidence nodes are added to the network as children of each low-level perceptual task; these evidence nodes capture the relative difficulty (categorized as easy, medium, hard, or impossible) of performing the perceptual task as estimated by our effort estimation rules mentioned in Section 3, whether a parameter in the task refers to an entity that is salient in the graphic, and whether a parameter in the task refers to an entity that is a noun in the caption.",
125,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_125,"An evidence node, indicating for each verb class whether that verb class appears in the caption (either as a verb, or as an adjective derived from a verb, or as a noun that can also serve as a verb) is added as a child of the top level goal node.",
126,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_126,Adjectives such as more and most that provide evidence are handled in a similar manner.,
127,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_127,"In a Bayesian network, conditional probability tables capture the conditional probability of a child node given the value of its parent(s).",
128,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_128,"For example, the network requires the conditional probability of an entity appearing as a noun in the caption given that recognizing the intended message entails performing a particular perceptual task involving that entity.",
129,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_129,"Similarly, the network requires the conditional probability, for each class of verb, that the verb class appears in the caption given that the intended message falls into a particular intention category.",
130,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_130,"These probabilities are learned from our corpus of graphics, as described in (Elzer et al. ,",
131,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_131,2005).,
132,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_132,"6 Evaluation In this paper, we are particularly interested in whether shallow processing of captions can contribute to recognizing the intended message of an information graphic.",
133,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_133,"As mentioned earlier, the intended message of each information graphic in our corpus of bar charts had been previously annotated by two coders.",
134,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_134,"To evaluate our approach, we used leave-one-out cross validation.",
135,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_135,"We performed a series of experiments in which each graphic in the corpus is selected once as the test graphic, the probability tables in the Bayesian network are learned from the remaining graphics, and the test graphic is presented to the system as a test case.",
136,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_136,The system was judged to fail if either its top-rated hypothesis did not match the intended message that was assigned to the graphic by the coders or the probability rating of the system's top-rated hypothesis did not exceed 50%.,
137,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_137,Overall success was then computed by averaging together the results of the whole series of experiments.,
138,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_138,"Each experiment consisted of two parts, one inDiner's Club Discover American Express Mastercard Visa 400 600 200 Total credit card purchases per year in billions Figure 4: A Graphic from Business Week 3 which captions were not taken into account in the Bayesian network and one in which the Bayesian network included evidence from captions.",
139,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_139,"Our overall accuracy without the caption evidence was 64.5%, while the inclusion of caption evidence increased accuracy to 79.1% for an absolute increase in accuracy of 14.6% and a relative improvement of 22.6% over the system's accuracy without caption evidence.",
140,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_140,Thus we conclude that shallow processing of a caption provides evidence that can be effectively utilized in a Bayesian network to recognize the intended message of an information graphic.,
141,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_141,Our analysis of the results provides some interesting insights on the role of elements of the caption.,
142,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_142,There appear to be two primary functions of verbs.,
143,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_143,"The first is to reflect what is in the data, thereby strengthening the message that would be recognized without the caption.",
144,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_144,"One example from our corpus is a graphic with the caption ""Legal immigration to the U.S. has been rising for decades"" .",
145,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_145,"Although the early part of the graphic displays a change from decreasing immigration to a steadily increasing immigration trend, most of the graphic focuses on the decades of increasing immigration and the caption strengthens increasing trend in immigration as the intended message of the graphic.",
146,pagesOfTextToDisplay-limitation-in-InfoGraphics-confusion-.json_146,"If we do not include the caption, our system hypothesizes an increasing trend message with a probability of 66.4%; other hypotheses include an intended message that emphasizes the change in trend with a probability of 15.3%.",
